"File","Line","Type","Value","Content"
"PROJE_RAPOR.txt","270","Percentage","75.56","#     En iyi non-MC: technical, In=4, Out=3 â†’ %75.56 (Spec=0.625)"
"PROJE_RAPOR.txt","270","Float","0.625","#     En iyi non-MC: technical, In=4, Out=3 â†’ %75.56 (Spec=0.625)"
"PROJE_RAPOR.txt","273","Percentage","60.00","#   Naive: Out=1: %60.00 | Out=3: %84.85 | Out=5: %90.32"
"PROJE_RAPOR.txt","273","Percentage","84.85","#   Naive: Out=1: %60.00 | Out=3: %84.85 | Out=5: %90.32"
"PROJE_RAPOR.txt","273","Percentage","90.32","#   Naive: Out=1: %60.00 | Out=3: %84.85 | Out=5: %90.32"
"PROJE_RAPOR.txt","281","Percentage","71.43","#       Out=1: %71.43 | Out=3: %78.79 | Out=5: %80.65"
"PROJE_RAPOR.txt","281","Percentage","78.79","#       Out=1: %71.43 | Out=3: %78.79 | Out=5: %80.65"
"PROJE_RAPOR.txt","281","Percentage","80.65","#       Out=1: %71.43 | Out=3: %78.79 | Out=5: %80.65"
"PROJE_RAPOR.txt","285","Percentage","80.21","#     full, In=2, Out=3 â†’ %80.21 (Spec=0.857) â† GERÃ‡EK Ã–ÄRENME!"
"PROJE_RAPOR.txt","285","Float","0.857","#     full, In=2, Out=3 â†’ %80.21 (Spec=0.857) â† GERÃ‡EK Ã–ÄRENME!"
"PROJE_RAPOR.txt","286","Percentage","84.38","#       Seed_23: 84.38% | Seed_27: 71.88% | Seed_98: 84.38%"
"PROJE_RAPOR.txt","286","Percentage","71.88","#       Seed_23: 84.38% | Seed_27: 71.88% | Seed_98: 84.38%"
"PROJE_RAPOR.txt","286","Percentage","84.38","#       Seed_23: 84.38% | Seed_27: 71.88% | Seed_98: 84.38%"
"PROJE_RAPOR.txt","291","Percentage","80.21","#     Ã–NEMLÄ°: AMZ LSTM %80.21 (Out=3) > Naive %78.79 (Out=3)"
"PROJE_RAPOR.txt","291","Percentage","78.79","#     Ã–NEMLÄ°: AMZ LSTM %80.21 (Out=3) > Naive %78.79 (Out=3)"
"PROJE_RAPOR.txt","295","Percentage","74.36","#     En iyi non-MC: closing, In=6, Out=5 â†’ %74.36 (Spec=0.333)"
"PROJE_RAPOR.txt","295","Float","0.333","#     En iyi non-MC: closing, In=6, Out=5 â†’ %74.36 (Spec=0.333)"
"PROJE_RAPOR.txt","296","Percentage","73.81","#     technical, In=4, Out=5 â†’ %73.81 (Spec=0.167)"
"PROJE_RAPOR.txt","296","Float","0.167","#     technical, In=4, Out=5 â†’ %73.81 (Spec=0.167)"
"PROJE_RAPOR.txt","299","Percentage","60.00","#   Naive: Out=1: %60.00 | Out=3: %78.79 | Out=5: %83.87"
"PROJE_RAPOR.txt","299","Percentage","78.79","#   Naive: Out=1: %60.00 | Out=3: %78.79 | Out=5: %83.87"
"PROJE_RAPOR.txt","299","Percentage","83.87","#   Naive: Out=1: %60.00 | Out=3: %78.79 | Out=5: %83.87"
"PROJE_RAPOR.txt","313","Percentage","69.23","# ARIMA max   | %69.23   | %80.65   | +11.42  â†‘"
"PROJE_RAPOR.txt","313","Percentage","80.65","# ARIMA max   | %69.23   | %80.65   | +11.42  â†‘"
"PROJE_RAPOR.txt","314","Percentage","73.5","# LSTM max    | %73.5    | %68.89   | -4.61  â†“"
"PROJE_RAPOR.txt","314","Percentage","68.89","# LSTM max    | %73.5    | %68.89   | -4.61  â†“"
"PROJE_RAPOR.txt","315","Percentage","73.5","# CNN max     | %73.5    | %75.56   | +2.06  â†‘"
"PROJE_RAPOR.txt","315","Percentage","75.56","# CNN max     | %73.5    | %75.56   | +2.06  â†‘"
"PROJE_RAPOR.txt","316","Percentage","89.2","# Naive max   | %89.2    | %90.32   | +1.12  â†‘"
"PROJE_RAPOR.txt","316","Percentage","90.32","# Naive max   | %89.2    | %90.32   | +1.12  â†‘"
"PROJE_RAPOR.txt","323","Percentage","81.08","# ARIMA max   | %81.08   | %80.65   | -0.43  â†“"
"PROJE_RAPOR.txt","323","Percentage","80.65","# ARIMA max   | %81.08   | %80.65   | -0.43  â†“"
"PROJE_RAPOR.txt","323","Float","0.43","# ARIMA max   | %81.08   | %80.65   | -0.43  â†“"
"PROJE_RAPOR.txt","324","Percentage","80.6","# LSTM max*   | %80.6*   | %80.21   | ~0     â‰ˆ"
"PROJE_RAPOR.txt","324","Percentage","80.21","# LSTM max*   | %80.6*   | %80.21   | ~0     â‰ˆ"
"PROJE_RAPOR.txt","325","Percentage","80.6","# CNN max*    | %80.6*   | %74.36   | -6.24  â†“"
"PROJE_RAPOR.txt","325","Percentage","74.36","# CNN max*    | %80.6*   | %74.36   | -6.24  â†“"
"PROJE_RAPOR.txt","326","Percentage","86.5","# Naive max   | %86.5    | %83.87   | -2.63  â†“"
"PROJE_RAPOR.txt","326","Percentage","83.87","# Naive max   | %86.5    | %83.87   | -2.63  â†“"
"PROJE_RAPOR.txt","331","Percentage","80.21","# GÃ¼ncel AMZ LSTM %80.21 â†’ Spec=0.857 â†’ GERÃ‡EK Ã–ÄRENME"
"PROJE_RAPOR.txt","331","Float","0.857","# GÃ¼ncel AMZ LSTM %80.21 â†’ Spec=0.857 â†’ GERÃ‡EK Ã–ÄRENME"
"PROJE_RAPOR.txt","395","Percentage","49.83","#   ARIMA: %49.83 â†’ %51.34 (stabil, zaten ~%50)"
"PROJE_RAPOR.txt","395","Percentage","51.34","#   ARIMA: %49.83 â†’ %51.34 (stabil, zaten ~%50)"
"PROJE_RAPOR.txt","396","Percentage","55.83","#   LSTM tech: %55.83 â†’ %50.52 (-5.31 dÃ¼ÅŸÃ¼ÅŸ)"
"PROJE_RAPOR.txt","396","Percentage","50.52","#   LSTM tech: %55.83 â†’ %50.52 (-5.31 dÃ¼ÅŸÃ¼ÅŸ)"
"PROJE_RAPOR.txt","397","Percentage","56.79","#   CNN tech: %56.79 â†’ %49.55 (-7.24 dÃ¼ÅŸÃ¼ÅŸ)"
"PROJE_RAPOR.txt","397","Percentage","49.55","#   CNN tech: %56.79 â†’ %49.55 (-7.24 dÃ¼ÅŸÃ¼ÅŸ)"
"PROJE_RAPOR.txt","399","Percentage","67.57","#   Makale (NASDAQ100) ARIMA: %67.57 â€” geliÅŸmiÅŸ piyasa avantajÄ±"
"PROJE_RAPOR.txt","400","Percentage","80.65","#   Emeklilik ARIMA yÃ¼ksek: %80.65 (haftalÄ±k veri etkisi)"
"PROJE_RAPOR.txt","416","Percentage","80.21","#   AMZ LSTM %80.21 > Naive %78.79 â€” model naive'i geÃ§iyor"
"PROJE_RAPOR.txt","416","Percentage","78.79","#   AMZ LSTM %80.21 > Naive %78.79 â€” model naive'i geÃ§iyor"
"PROJE_RAPOR.txt","419","Percentage","79.7","#   THYAO Out=5: Naive %79.7 > LSTM %55 / CNN %55"
"PROJE_RAPOR.txt","420","Percentage","90.3","#   AZS Out=5: Naive %90.3 > LSTM %68.9 / CNN %70.2"
"PROJE_RAPOR.txt","420","Percentage","68.9","#   AZS Out=5: Naive %90.3 > LSTM %68.9 / CNN %70.2"
"PROJE_RAPOR.txt","420","Percentage","70.2","#   AZS Out=5: Naive %90.3 > LSTM %68.9 / CNN %70.2"
"PROJE_RAPOR.txt","421","Percentage","83.9","#   AMZ Out=5: Naive %83.9 > LSTM %77.4 / ARIMA %80.7"
"PROJE_RAPOR.txt","421","Percentage","77.4","#   AMZ Out=5: Naive %83.9 > LSTM %77.4 / ARIMA %80.7"
"PROJE_RAPOR.txt","421","Percentage","80.7","#   AMZ Out=5: Naive %83.9 > LSTM %77.4 / ARIMA %80.7"
"PROJE_RAPOR.txt","422","Percentage","80.21","#   Ä°STÄ°SNA: AMZ LSTM full Out=3 â†’ %80.21 > Naive %78.79"
"PROJE_RAPOR.txt","422","Percentage","78.79","#   Ä°STÄ°SNA: AMZ LSTM full Out=3 â†’ %80.21 > Naive %78.79"
"PROJE_RAPOR.txt","425","Percentage","53.1","#   THYAO Naive: %53.1 â†’ %73.9 â†’ %79.7 (Out=1,3,5)"
"PROJE_RAPOR.txt","425","Percentage","73.9","#   THYAO Naive: %53.1 â†’ %73.9 â†’ %79.7 (Out=1,3,5)"
"PROJE_RAPOR.txt","425","Percentage","79.7","#   THYAO Naive: %53.1 â†’ %73.9 â†’ %79.7 (Out=1,3,5)"
"PROJE_RAPOR.txt","426","Percentage","60.0","#   AZS Naive: %60.0 â†’ %84.9 â†’ %90.3"
"PROJE_RAPOR.txt","426","Percentage","84.9","#   AZS Naive: %60.0 â†’ %84.9 â†’ %90.3"
"PROJE_RAPOR.txt","426","Percentage","90.3","#   AZS Naive: %60.0 â†’ %84.9 â†’ %90.3"
"PROJE_RAPOR.txt","427","Percentage","60.0","#   AMZ Naive: %60.0 â†’ %78.8 â†’ %83.9"
"PROJE_RAPOR.txt","427","Percentage","78.8","#   AMZ Naive: %60.0 â†’ %78.8 â†’ %83.9"
"PROJE_RAPOR.txt","427","Percentage","83.9","#   AMZ Naive: %60.0 â†’ %78.8 â†’ %83.9"
"PROJE_RAPOR.txt","436","Percentage","80.21","#   %80.21 accuracy, Spec=0.857 â†’ hem yÃ¼kseliÅŸ hem dÃ¼ÅŸÃ¼ÅŸ"
"PROJE_RAPOR.txt","436","Float","0.857","#   %80.21 accuracy, Spec=0.857 â†’ hem yÃ¼kseliÅŸ hem dÃ¼ÅŸÃ¼ÅŸ"
"PROJE_RAPOR.txt","437","Float","0.072","#   SD = 0.072 â†’ seed'den baÄŸÄ±msÄ±z tutarlÄ±"
"PROJE_RAPOR.txt","640","Percentage","66.72","# [x] ARIMA eski ort. dÃ¼zeltildi: %66.72 â†’ %49.83 (CSV doÄŸrulamasÄ±)"
"PROJE_RAPOR.txt","640","Percentage","49.83","# [x] ARIMA eski ort. dÃ¼zeltildi: %66.72 â†’ %49.83 (CSV doÄŸrulamasÄ±)"
"PROJE_RAPOR.txt","641","Percentage","74.36","# [x] AMZ CNN en iyi non-MC dÃ¼zeltildi: tech In=4 â†’ closing In=6 (%74.36)"
"PROJE_ADIMLAR.txt","756","Float","0.70","train_end  <- floor(n * 0.70)  # 857. satÄ±ra kadar"
"PROJE_ADIMLAR.txt","757","Float","0.85","val_end    <- floor(n * 0.85)  # 1041. satÄ±ra kadar"
"PROJE_ADIMLAR.txt","949","Float","0.5016","#   2      1      3   0.5016"
"PROJE_ADIMLAR.txt","950","Float","0.5116","#   2      3      1   0.5116"
"PROJE_ADIMLAR.txt","951","Float","0.4784","#   2      5      1   0.4784"
"PROJE_ADIMLAR.txt","952","Float","0.4918","#   4      1      3   0.4918"
"PROJE_ADIMLAR.txt","953","Float","0.4983","#   4      3      1   0.4983"
"PROJE_ADIMLAR.txt","954","Float","0.4983","#   4      5      1   0.4983"
"PROJE_ADIMLAR.txt","955","Float","0.4885","#   6      1      3   0.4885"
"PROJE_ADIMLAR.txt","956","Float","0.5149","#   6      3      2   0.5149  â† En iyi"
"PROJE_ADIMLAR.txt","957","Float","0.5017","#   6      5      0   0.5017"
"PROJE_ADIMLAR.txt","959","Float","0.4983","# Ortalama Test Accuracy: 0.4983"
"PROJE_ADIMLAR.txt","960","Float","0.6757","# Makale ARIMA ortalamasÄ±: 0.6757"
"PROJE_ADIMLAR.txt","961","Float","0.1774","# Fark: 0.1774 â€” piyasa farklÄ±lÄ±ÄŸÄ±ndan kaynaklÄ± beklenen dÃ¼ÅŸÃ¼ÅŸ"
"PROJE_ADIMLAR.txt","966","Percentage","51.49","# 3. En iyi kombinasyon: Input=6, Output=3 (%51.49)"
"PROJE_ADIMLAR.txt","980","Float","0.4983","# Ort: 0.4983    | Ort: 0.6757   | 0.1774"
"PROJE_ADIMLAR.txt","980","Float","0.6757","# Ort: 0.4983    | Ort: 0.6757   | 0.1774"
"PROJE_ADIMLAR.txt","980","Float","0.1774","# Ort: 0.4983    | Ort: 0.6757   | 0.1774"
"PROJE_ADIMLAR.txt","981","Float","0.7430","# En iyi: 0.7430 | En iyi: 0.7838| 0.0408"
